Timestamp,Your Sex?,Your Matric (grade 12) Average/ GPA (in %),What year were you in last year (2023) ?,What faculty does your degree fall under?,Your 2023 academic year average/GPA in % (Ignore if you are 2024 1st year student),Your Accommodation Status Last Year (2023),Monthly Allowance in 2023,Were you on scholarship/bursary in 2023?,Additional amount of studying (in hrs) per week,How often do you go out partying/socialising during the week? ,"On a night out, how many alcoholic drinks do you consume?","How many classes do you miss per week due to alcohol reasons, (i.e: being hungover or too tired?)",How many modules have you failed thus far into your studies?,Are you currently in a romantic relationship?,Do your parents approve alcohol consumption?,How strong is your relationship with your parent/s?
2024/03/07 7:18:59 pm EET,Female,75.0,2nd Year,Arts & Social Sciences,80.0,Private accommodation/ stay with family/friends,R 6001 - R 7000,No,3-5,Only weekends,5-8,0,0,No,Yes,Close
2024/03/07 7:19:12 pm EET,Female,69.0,,Economic & Management Sciences,,,,No,3-5,1,1-3,0,0,Yes,Yes,Very close
2024/03/07 7:21:59 pm EET,Male,82.0,2nd Year,Economic & Management Sciences,69.0,Non-private accommodation ie. Res,R 4001- R 5000,No,0,4+,8+,0,0,No,No,Very close
2024/03/07 7:23:00 pm EET,Female,80.0,2nd Year,Arts & Social Sciences,70.0,Private accommodation/ stay with family/friends,R 6001 - R 7000,No,8+,3,3-5,4+,0,Yes,Yes,Very close
2024/03/07 7:33:31 pm EET,Female,74.0,,Science,,Private accommodation/ stay with family/friends,R 6001 - R 7000,No,8+,2,1-3,0,0,No,Yes,Very close
2024/03/07 7:35:56 pm EET,Male,73.0,2nd Year,Economic & Management Sciences,73.5,Private accommodation/ stay with family/friends,R 4001- R 5000,No,8+,Only weekends,3-5,0,0,Yes,Yes,Very close
2024/03/07 7:41:48 pm EET,Male,74.0,,Economic & Management Sciences,,Private accommodation/ stay with family/friends,R 4001- R 5000,No,3-5,1,1-3,0,0,No,Yes,Very close
2024/03/07 7:45:38 pm EET,Female,84.0,2nd Year,Science,70.0,Private accommodation/ stay with family/friends,,No,8+,1,5-8,0,0,Yes,Yes,Very close
2024/03/07 7:53:26 pm EET,Male,63.0,1st Year,Economic & Management Sciences,68.0,Private accommodation/ stay with family/friends,R 4001- R 5000,No,3-5,3,8+,1,0,No,Yes,Close
2024/03/07 7:53:39 pm EET,Female,73.0,,Economic & Management Sciences,,,R 4001- R 5000,No,1-3,1,5-8,0,0,No,Yes,Very close
